cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
MHAS,M0,3,4,2012,2015,2018,3,3,TRUE,primary_2to3_year,unweighted,3829,3829,507,0.132410551057717,0.129192049804072,0.624035923322729,0.112125285155628,0.0286231087195204,1.53817687608261
MHAS,M0,1,2,2001,2003,2012,2,9,FALSE,extended_long_prediction_interval,unweighted,2318,2318,576,0.248490077653149,0.118877447241366,0.634921845101416,0.198859402730432,0.906423884822603,1.85584172873404
MHAS,M1,4,5,2015,2018,2021,3,3,TRUE,primary_2to3_year,unweighted,3968,3968,665,0.167590725806452,0.262804234203714,0.706784900489188,0.140755034918319,-0.649653141476263,0.850479447466237
MHAS,M1,2,3,2003,2012,2015,9,3,FALSE,extended_long_history_interval,unweighted,3680,3680,689,0.187228260869565,0.270268482758424,0.723728029759331,0.14447992211794,-0.544962503392268,0.952587016353633
MHAS,M1,3,4,2012,2015,2018,3,3,TRUE,primary_2to3_year,unweighted,3829,3829,507,0.132410551057717,0.260602099028986,0.697479418187518,0.130410909278205,-0.94140830862241,0.814460215139657
MHAS,M1,1,2,2001,2003,2012,2,9,FALSE,extended_long_prediction_interval,unweighted,2318,2318,576,0.248490077653149,0.941891797861152,0.67965361493813,0.660589513790196,-6402114438710.11,1169836892558.52
CHARLS,M0,2,3,2013,2015,2018,2,3,TRUE,primary_2to3_year,respondent_weighted,3915,3891,784,0.199210762938739,0.0937762378510553,0.623734146219219,0.166255189413512,0.903073100947389,0.984359103591808
CHARLS,M1,2,3,2013,2015,2018,2,3,TRUE,primary_2to3_year,respondent_weighted,3915,3891,784,0.199210762938739,0.112492574525185,0.67097564093657,0.156087613352542,0.726711911783716,0.905929356184309
HRS,M0,4,5,1998,2000,2002,2,2,TRUE,primary_2to3_year,respondent_weighted,7250,7245,670,0.0924909850878429,0.164990819890413,0.660705747038017,0.0860264079338336,-0.677561665795911,1.36954316136811
HRS,M0,5,6,2000,2002,2004,2,2,TRUE,primary_2to3_year,respondent_weighted,7351,7343,677,0.0911285141674796,0.165333263971949,0.669362797163293,0.0851719935872758,-0.69750126635097,1.39174519740278
