cohort,variable,variable_label,class
HRS,r15deptho,r15deptho:w15 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r15iwstat,r15iwstat:w15 r interview status,haven_labelled;vctrs_vctr;double
HRS,r15momage,r15momage:w15 mother age current/at death,numeric
HRS,r15penic1,r15penic1:w15 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r15penic2,r15penic2:w15 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r15pexit,r15pexit:w15 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r16dadage,r16dadage:w16 father age current/at death,numeric
HRS,r16deptho,r16deptho:w16 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r16iwstat,r16iwstat:w16 r interview status,haven_labelled;vctrs_vctr;double
HRS,r16momage,r16momage:w16 mother age current/at death,numeric
HRS,r16penic1,r16penic1:w16 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r16penic2,r16penic2:w16 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r16pexit,r16pexit:w16 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r1dadage,r1dadage:w1 father age current/at death,numeric
HRS,r1iwstat,r1iwstat:w1 r interview status,haven_labelled;vctrs_vctr;double
HRS,r1momage,r1momage:w1 mother age current/at death,numeric
HRS,r2dadage,r2dadage:w2 father age current/at death,numeric
HRS,r2iwstat,r2iwstat:w2 r interview status,haven_labelled;vctrs_vctr;double
HRS,r2momage,r2momage:w2 mother age current/at death,numeric
HRS,r2penic1,r2penic1:w2 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r2penic2,r2penic2:w2 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r2pexit,r2pexit:w2 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r3dadage,r3dadage:w3 father age current/at death,numeric
HRS,r3deptho,r3deptho:w3 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r3iwstat,r3iwstat:w3 r interview status,haven_labelled;vctrs_vctr;double
HRS,r3momage,r3momage:w3 mother age current/at death,numeric
HRS,r3penic1,r3penic1:w3 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r3penic2,r3penic2:w3 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r3pexit,r3pexit:w3 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r4dadage,r4dadage:w4 father age current/at death,numeric
HRS,r4deptho,r4deptho:w4 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r4iwstat,r4iwstat:w4 r interview status,haven_labelled;vctrs_vctr;double
HRS,r4momage,r4momage:w4 mother age current/at death,numeric
HRS,r4penic1,r4penic1:w4 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r4penic2,r4penic2:w4 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r4pexit,r4pexit:w4 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r5dadage,r5dadage:w5 father age current/at death,numeric
HRS,r5deptho,r5deptho:w5 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r5iwstat,r5iwstat:w5 r interview status,haven_labelled;vctrs_vctr;double
HRS,r5momage,r5momage:w5 mother age current/at death,numeric
HRS,r5penic1,r5penic1:w5 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r5penic2,r5penic2:w5 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r5pexit,r5pexit:w5 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r6dadage,r6dadage:w6 father age current/at death,numeric
HRS,r6deptho,r6deptho:w6 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r6iwstat,r6iwstat:w6 r interview status,haven_labelled;vctrs_vctr;double
HRS,r6momage,r6momage:w6 mother age current/at death,numeric
HRS,r6penic1,r6penic1:w6 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r6penic2,r6penic2:w6 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r6pexit,r6pexit:w6 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r7dadage,r7dadage:w7 father age current/at death,numeric
HRS,r7deptho,r7deptho:w7 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r7iwstat,r7iwstat:w7 r interview status,haven_labelled;vctrs_vctr;double
HRS,r7momage,r7momage:w7 mother age current/at death,numeric
HRS,r7penic1,r7penic1:w7 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r7penic2,r7penic2:w7 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r7pexit,r7pexit:w7 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r8dadage,r8dadage:w8 father age current/at death,numeric
HRS,r8deptho,r8deptho:w8 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r8iwstat,r8iwstat:w8 r interview status,haven_labelled;vctrs_vctr;double
HRS,r8momage,r8momage:w8 mother age current/at death,numeric
HRS,r8penic1,r8penic1:w8 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r8penic2,r8penic2:w8 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r8pexit,r8pexit:w8 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r9dadage,r9dadage:w9 father age current/at death,numeric
HRS,r9deptho,r9deptho:w9 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r9iwstat,r9iwstat:w9 r interview status,haven_labelled;vctrs_vctr;double
HRS,r9momage,r9momage:w9 mother age current/at death,numeric
HRS,r9penic1,r9penic1:w9 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r9penic2,r9penic2:w9 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r9pexit,r9pexit:w9 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,radage_m,radage_m: age at death in months,numeric
HRS,radage_y,radage_y: age at death in years,numeric
HRS,raddate,raddate: r death date,numeric
HRS,radmonth,radmonth: r death month,numeric
HRS,radsrc,radsrc: r death date source,haven_labelled;vctrs_vctr;double
HRS,radtimtdth,radtimtdth: number of months from last core interview to death date,numeric
HRS,radyear,radyear: r death year,numeric
HRS,readl5h,readl5h: exit r gets help-sum of adls /0-5,numeric
HRS,readl6h,readl6h: exit r gets help-sum of adls /0-6,numeric
HRS,realone,realone:exit r could be left alone,haven_labelled;vctrs_vctr;double
HRS,rebathh,"rebathh:exit r got help-bathing, showering",haven_labelled;vctrs_vctr;double
HRS,rebatht,"rebatht:exit time r got help-bathing, showering",numeric
HRS,rebedh,rebedh:exit r got help-get in/out bed,haven_labelled;vctrs_vctr;double
HRS,rebedrid,rebedrid:exit bedridden around time of death,haven_labelled;vctrs_vctr;double
HRS,rebedt,rebedt:exit time r got help-get in/out bed,numeric
HRS,recendiv,"recendiv:exit census division, place of death",haven_labelled;vctrs_vctr;double
HRS,recenreg,"recenreg:exit census region, place of death",haven_labelled;vctrs_vctr;double
HRS,recovr,recovr:exit r covered by r empl plan,haven_labelled;vctrs_vctr;double
HRS,recovs,recovs:exit r covered by s empl plan,haven_labelled;vctrs_vctr;double
HRS,redoctim,redoctim:exit # doctor visits,numeric
HRS,redoctor,redoctor:exit doctor visit,haven_labelled;vctrs_vctr;double
HRS,redressh,redressh:exit r got help-dressing,haven_labelled;vctrs_vctr;double
HRS,redresst,redresst:exit time r got help-dressing,numeric
HRS,redrugs,redrugs:exit regularly take rx,haven_labelled;vctrs_vctr;double
HRS,reeath,reeath:exit r got help-eating,haven_labelled;vctrs_vctr;double
HRS,reeatt,reeatt:exit time r got help-eating,numeric
HRS,regovmdd,regovmdd:exit r had medicaid at death,haven_labelled;vctrs_vctr;double
HRS,regovmds,regovmds:exit r had medicaid in last 2 yrs or since prvivw,haven_labelled;vctrs_vctr;double
HRS,regovmr,regovmr:exit r had gov plan-medicare,haven_labelled;vctrs_vctr;double
HRS,regovva,regovva:exit r had gov plan-champus/champva,haven_labelled;vctrs_vctr;double
HRS,rehaluc,rehaluc:exit r hallucinated,haven_labelled;vctrs_vctr;double
HRS,rehesrc1,rehesrc1:exit source of r empl plan #1,haven_labelled;vctrs_vctr;double
HRS,rehesrc2,rehesrc2:exit source of r empl plan #2,haven_labelled;vctrs_vctr;double
HRS,rehesrc3,rehesrc3:exit source of r empl plan #3,haven_labelled;vctrs_vctr;double
HRS,rehigov,rehigov:exit r was covered by gov plan,haven_labelled;vctrs_vctr;double
HRS,rehiltc,rehiltc:exit r had long term care ins,haven_labelled;vctrs_vctr;double
HRS,rehomcar,rehomcar:exit home hlth care,haven_labelled;vctrs_vctr;double
HRS,rehosp,rehosp:exit overnight hospital stay since prvivw before death,haven_labelled;vctrs_vctr;double
HRS,rehpcnit,rehpcnit:exit hospice care nights,numeric
