cohort,outer_split,method,calibration_fraction_total_persons,inner_attempts,inner_successes,fit_success_rate,total_persons,evaluation_persons,evaluation_records,evaluation_events,median_calibration_persons,median_calibration_records,median_calibration_events,median_calibration_event_persons,median_auc,median_brier,median_delta_brier_vs_raw,median_citl,median_abs_citl,median_slope,median_abs_slope_error,proportion_abs_citl_le_0_20,proportion_brier_within_plus_0_001,proportion_brier_improved,descriptive_tolerance_met
CHARLS,28,intercept_and_slope,0.5,100,100,1.0,3915,1566,1566,351,1957.0,1957.0,363.0,363.0,0.664807194025301,0.16311563737134122,-0.01175879764967834,0.22331030147394704,0.22331030147394704,1.088410008006901,0.08841000800690102,0.19,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.6,100,100,1.0,3915,1566,1566,351,2349.0,2349.0,436.0,436.0,0.664807194025301,0.1630676678035747,-0.011806767217444836,0.22229314094032165,0.22229314094032165,1.0791626199352509,0.07916261993525087,0.0,1.0,1.0,False
CHARLS,28,intercept_only,0.05,100,100,1.0,3915,1566,1566,351,195.0,195.0,36.0,36.0,0.664807194025301,0.16248991022392958,-0.012384524797089957,0.19696954208019793,0.1991033527356143,0.8902347564032135,0.10976524359678652,0.5,1.0,1.0,False
CHARLS,28,intercept_only,0.1,100,100,1.0,3915,1566,1566,351,391.0,391.0,73.0,73.0,0.664807194025301,0.1624481400012621,-0.01242629501975745,0.20956309180760288,0.20956309180760288,0.8902347564032135,0.10976524359678652,0.45,1.0,1.0,False
CHARLS,28,intercept_only,0.2,100,100,1.0,3915,1566,1566,351,783.0,783.0,145.0,145.0,0.664807194025301,0.1626440509260906,-0.012230384094928937,0.23059416766819946,0.23059416766819946,0.8902347564032135,0.10976524359678652,0.38,1.0,1.0,False
CHARLS,28,intercept_only,0.3,100,100,1.0,3915,1566,1566,351,1174.0,1174.0,218.0,218.0,0.664807194025301,0.1625559557110248,-0.012318479309994745,0.22140122113941635,0.22140122113941635,0.8902347564032135,0.10976524359678652,0.31,1.0,1.0,False
CHARLS,28,intercept_only,0.4,100,100,1.0,3915,1566,1566,351,1566.0,1566.0,291.0,291.0,0.664807194025301,0.16255920588798134,-0.012315229133038202,0.22174685788764836,0.22174685788764836,0.8902347564032135,0.10976524359678652,0.27,1.0,1.0,False
CHARLS,28,intercept_only,0.5,100,100,1.0,3915,1566,1566,351,1957.0,1957.0,363.0,363.0,0.664807194025301,0.16257136353289614,-0.012303071488123388,0.2230402100971309,0.2230402100971309,0.8902347564032135,0.10976524359678652,0.2,1.0,1.0,False
CHARLS,28,intercept_only,0.6,100,100,1.0,3915,1566,1566,351,2349.0,2349.0,436.0,436.0,0.664807194025301,0.1625624516227707,-0.012311983398248849,0.22209427525304495,0.22209427525304495,0.8902347564032135,0.10976524359678652,0.0,1.0,1.0,False
CHARLS,28,none,0.0,1,1,1.0,3915,1566,1566,351,0.0,0.0,0.0,0.0,0.664807194025301,0.17487443502101954,0.0,0.8754984935466682,0.8754984935466682,0.8902347564032135,0.10976524359678652,0.0,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.05,100,100,1.0,3915,1566,1566,311,195.0,195.0,39.0,39.0,0.6776418441987676,0.1490175864096726,-0.007635256962456219,-0.006820445007797847,0.11473380934646543,1.1367529084423984,0.22707661419737063,0.76,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.1,100,100,1.0,3915,1566,1566,311,391.0,391.0,78.0,78.0,0.6776418441987676,0.14863038971831027,-0.00802245365381854,-0.0059489024989606756,0.09003276130887995,1.0824533153921914,0.16400322593644773,0.92,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.2,100,100,1.0,3915,1566,1566,311,783.0,783.0,158.0,158.0,0.6776418441987676,0.1482574089369045,-0.008395434435224308,-0.009543441224236598,0.04922954436993415,1.1143523426811477,0.1274304957121304,1.0,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.3,100,100,1.0,3915,1566,1566,311,1174.0,1174.0,237.0,237.0,0.6776418441987676,0.14824889490690035,-0.008403948465228447,-0.017591304779542093,0.04182894843293029,1.1449711859972633,0.14497118599726344,1.0,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.4,100,100,1.0,3915,1566,1566,311,1566.0,1566.0,316.5,316.5,0.6776418441987676,0.14818617050984267,-0.008466672862286126,-0.019022414122652917,0.02926147118762172,1.1298217065732898,0.12982170657328995,1.0,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.5,100,100,1.0,3915,1566,1566,311,1957.0,1957.0,397.0,397.0,0.6776418441987676,0.14815961671647715,-0.008493226655651664,-0.024307700801526007,0.025250825002094676,1.1298267313006036,0.12982673130060363,1.0,1.0,1.0,False
CHARLS,29,intercept_and_slope,0.6,100,100,1.0,3915,1566,1566,311,2349.0,2349.0,476.0,476.0,0.6776418441987676,0.14813544057053193,-0.00851740280159688,-0.022662863009040433,0.022662863009040433,1.1246169902064618,0.12461699020646178,1.0,1.0,1.0,False
CHARLS,29,intercept_only,0.05,100,100,1.0,3915,1566,1566,311,195.0,195.0,39.0,39.0,0.6776418441987676,0.14828223146178382,-0.008370611910345008,-0.005163237554441919,0.10636193421065228,0.9161249577724941,0.08387504222750586,0.74,1.0,1.0,False
CHARLS,29,intercept_only,0.1,100,100,1.0,3915,1566,1566,311,391.0,391.0,78.0,78.0,0.6776418441987676,0.14820850722142917,-0.008444336150699644,-0.011273828985207929,0.0867707179628214,0.9161249577724941,0.08387504222750586,0.91,1.0,1.0,True
CHARLS,29,intercept_only,0.2,100,100,1.0,3915,1566,1566,311,783.0,783.0,158.0,158.0,0.6776418441987676,0.14806153311643014,-0.008591310255698675,-0.008388502776501753,0.04947634440461511,0.9161249577724941,0.08387504222750586,1.0,1.0,1.0,True
CHARLS,29,intercept_only,0.3,100,100,1.0,3915,1566,1566,311,1174.0,1174.0,237.0,237.0,0.6776418441987676,0.14806410243733845,-0.008588740934790368,-0.017744083103535074,0.042842288711282484,0.9161249577724941,0.08387504222750586,1.0,1.0,1.0,True
CHARLS,29,intercept_only,0.4,100,100,1.0,3915,1566,1566,311,1566.0,1566.0,316.5,316.5,0.6776418441987676,0.14803627884986037,-0.00861656452226843,-0.018294958772582408,0.02959056907949316,0.9161249577724941,0.08387504222750586,1.0,1.0,1.0,True
CHARLS,29,intercept_only,0.5,100,100,1.0,3915,1566,1566,311,1957.0,1957.0,397.0,397.0,0.6776418441987676,0.148036767978296,-0.008616075393832814,-0.023575780519832182,0.024411072369796928,0.9161249577724941,0.08387504222750586,1.0,1.0,1.0,True
